log interval=0.01,world length_x=25,world length_y=800,world length_z=800,voxel radius=1e-08,[/:A][0]=1e-08
9.728,0.0864937
9.76,0.0860668
9.792,0.0856421
9.824,0.0852194
9.856,0.0847989
9.888,0.0843804
9.92,0.0839639
9.952,0.0835496
9.984,0.0831372
10.016,0.082727
